,station_name,closeness
910GHTCHEND,Hatch End,0.04133560348089292
940GZZDLLEW,Lewisham,0.04105985154561684
910GWDGRNPK,Woodgrange Park,0.04105599398722285
940GZZLUHNX,Hatton Cross,0.041048281044523766
910GTURKYST,Turkey Street,0.04098668167323204
910GENFLDTN,Enfield Town,0.04095595126522961
910GBROCKLY,Brockley,0.040677650563157405
940GZZLUHAW,Harrow & Wealdstone,0.04049671022148087
910GSHENFLD,Shenfield,0.0398359161349134
940GZZLUUPM,Upminster,0.039788764454156425
910GCRPNDPK,Carpenders Park,0.03972005089983639
940GZZLUHRC,Heathrow Terminals 2 & 3,0.039443993140175104
910GBARKING,Barking (Rail),0.03944043321299639
940GZZLUHR4,Heathrow Terminal 4,0.03944043321299639
910GTHBLDSG,Theobalds Grove,0.039383561643835614
910GHONROPK,Honor Oak Park,0.03914017017465293
910GBUSHEY,Bushey,0.0382193458107399
940GZZLUHR5,Heathrow Terminal 5,0.03795049934867564
910GCHESHNT,Cheshunt,0.03789455428373222
910GFORESTH,Forest Hill,0.03770817154197946
910GWATFDHS,Watford High Street,0.03682170542635659
910GSYDENHM,Sydenham,0.036371202663337494
910GWATFDJ,Watford Junction,0.03551690507152146
910GPENEW,Penge West,0.035114503816793895
910GCRYSTLP,Crystal Palace,0.03509758252349209
910GANERLEY,Anerley,0.033936475887240816
910GNORWDJ,Norwood Junction,0.03282999023364135
910GWCROYDN,West Croydon,0.03178875390994399
